GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Thu Jul 27 11:16:02 2017
Sequence file name: seq.fna
Model file name: /home/genemark/bin/gmsuite/heu_11.mod
RBS: false

Model information: Heuristic_model_for_genetic_code_11_and_GC_51

FASTA definition line: Chromosome dna:chromosome chromosome:ASM80076v1:Chromosome:1:4558660:1 REF
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
 1163        +     1254295     1255011          717        1
 1164        -     1255055     1255408          354        1
 1165        +     1255635     1256987         1353        1
 1166        -     1256988     1257638          651        1
 1167        -     1257631     1259427         1797        1
 1168        +     1259766     1261157         1392        1
 1169        -     1261595     1262059          465        1
 1170        +     1262027     1265416         3390        1
 1171        +     1265413     1266951         1539        1
 1172        +     1266948     1267658          711        1
 1173        +     1267658     1268335          678        1
 1174        +     1268696     1269262          567        1
 1175        -     1269413     1270255          843        1
 1176        -     1270305     1270637          333        1
 1177        +     1270837     1271781          945        1
 1178        +     1271873     1272580          708        1
 1179        +     1273088     1273996          909        1
 1180        -     1274140     1274625          486        1
 1181        +     1275158     1275775          618        1
 1182        -     1276057     1276647          591        1
 1183        -     1277077     1279752         2676        1
 1184        +     1280229     1280876          648        1
 1185        +     1281569     1283245         1677        1
 1186        +     1283331     1284251          921        1
 1187        +     1284266     1285174          909        1
 1188        +     1285186     1286199         1014        1
 1189        +     1286196     1287200         1005        1
 1190        -     1287253     1287582          330        1
 1191        -     1287617     1289077         1461        1
 1192        +     1289109     1289393          285        1
 1193        -     1289448     1290656         1209        1
 1194        -     1291001     1291393          393        1
 1195        +     1291506     1292240          735        1
 1196        -     1292280     1292624          345        1
 1197        -     1292783     1293322          540        1
 1198        -     1293352     1294095          744        1
 1199        +     1294452     1295090          639        1
 1200        -     1295150     1295656          507        1
 1201        -     1295702     1296202          501        1
 1202        -     1296260     1296499          240        1
 1203        -     1296848     1297654          807        1
 1204        -     1297654     1298847         1194        1
 1205        -     1298859     1300220         1362        1
 1206        -     1300221     1301816         1596        1
 1207        -     1301816     1303378         1563        1
 1208        +     1303754     1304533          780        1
 1209        +     1304530     1305150          621        1
 1210        +     1305178     1307073         1896        1
 1211        +     1307284     1308159          876        1
 1212        -     1308199     1308789          591        1
 1213        -     1308786     1309544          759        1
 1214        +     1309764     1310813         1050        1
 1215        -     1310849     1311100          252        1
 1216        +     1311480     1314077         2598        1
 1217        +     1314287     1315261          975        1
 1218        +     1315723     1315890          168        1
 1219        -     1315964     1316089          126        1
 1220        +     1316263     1318938         2676        1
 1221        -     1319002     1319655          654        1
 1222        +     1319762     1320526          765        1
 1223        +     1320675     1320983          309        1
 1224        +     1320990     1322159         1170        1
 1225        +     1322293     1323090          798        1
 1226        +     1323087     1323416          330        1
 1227        -     1323542     1323760          219        1
 1228        -     1324029     1324343          315        1
 1229        -     1324328     1324777          450        1
 1230        -     1324867     1325049          183        1
 1231        -     1325188     1327173         1986        1
 1232        -     1327409     1329343         1935        1
 1233        -     1329411     1330580         1170        1
 1234        -     1330682     1331470          789        1
 1235        +     1331994     1332158          165        1
 1236        -     1332259     1333065          807        1
 1237        -     1333067     1334059          993        1
 1238        -     1334059     1334949          891        1
 1239        -     1334936     1335901          966        1
 1240        -     1335898     1336971         1074        1
 1241        +     1336984     1337376          393        1
 1242        -     1337854     1338099          246        1
 1243        -     1338233     1339618         1386        1
 1244        -     1339921     1341339         1419        1
 1245        +     1341551     1342315          765        1
 1246        +     1342342     1342899          558        1
 1247        +     1343174     1344661         1488        1
 1248        +     1344663     1345943         1281        1
 1249        +     1345981     1347246         1266        1
 1250        -     1347366     1348343          978        1
 1251        +     1348510     1349178          669        1
 1252        +     1349232     1349456          225        1
 1253        +     1349456     1349815          360        1
 1254        +     1349812     1350045          234        1
 1255        +     1350120     1350434          315        1
 1256        +     1350620     1352326         1707        1
 1257        +     1352340     1353632         1293        1
 1258        +     1353683     1354534          852        1
 1259        +     1354521     1355363          843        1
 1260        +     1355394     1356446         1053        1
 1261        +     1356456     1357253          798        1
 1262        +     1357275     1358318         1044        1
 1263        +     1358315     1360582         2268        1
 1264        +     1360579     1361238          660        1
 1265        +     1361252     1362220          969        1
 1266        +     1362378     1363283          906        1
 1267        -     1363394     1364392          999        1
 1268        +     1364548     1365945         1398        1
 1269        +     1365942     1367003         1062        1
 1270        +     1367151     1368692         1542        1
 1271        -     1368736     1369242          507        1
 1272        +     1369361     1370326          966        1
 1273        -     1370301     1370795          495        1
 1274        -     1371111     1371293          183        1
 1275        -     1371364     1372296          933        1
 1276        +     1372422     1373321          900        1
 1277        +     1373637     1375271         1635        1
 1278        -     1375322     1376353         1032        1
 1279        +     1376507     1377523         1017        1
 1280        +     1377796     1378053          258        1
 1281        -     1378103     1379053          951        1
 1282        -     1379205     1379999          795        1
 1283        -     1380152     1380667          516        1
 1284        -     1380678     1382210         1533        1
 1285        -     1382241     1383686         1446        1
 1286        -     1383686     1385011         1326        1
 1287        +     1385172     1386080          909        1
 1288        +     1386410     1386973          564        1
 1289        -     1386994     1388286         1293        1
 1290        +     1388481     1389464          984        1
 1291        +     1389942     1391315         1374        1
 1292        -     1391444     1392379          936        1
 1293        -     1392431     1393666         1236        1
 1294        -     1393668     1393883          216        1
 1295        -     1393962     1394243          282        1
 1296        -     1394415     1395230          816        1
 1297        -     1395217     1397817         2601        1
 1298        -     1397919     1398242          324        1
 1299        -     1398269     1398445          177        1
 1300        -     1398439     1398672          234        1
 1301        +     1399102     1399590          489        1
 1302        -     1399587     1399742          156        1
 1303        -     1399753     1399932          180        1
 1304        -     1400196     1400672          477        1
 1305        +     1401115     1401537          423        1
 1306        +     1401550     1402407          858        1
 1307        +     1402414     1403160          747        1
 1308        +     1403183     1403743          561        1
 1309        +     1403770     1404075          306        1
 1310        +     1404294     1405670         1377        1
 1311        +     1405807     1406070          264        1
 1312        +     1406120     1406410          291        1
 1313        +     1406578     1406718          141        1
 1314        +     1406884     1407912         1029        1
 1315        -     1408176     1408928          753        1
 1316        +     1408953     1409414          462        1
 1317        -     1409976     1410725          750        1
 1318        +     1410844     1412841         1998        1
 1319        +     1412841     1413416          576        1
 1320        -     1413514     1414104          591        1
 1321        -     1414421     1414687          267        1
 1322        +     1415176     1415349          174        1
 1323        -     1415615     1416049          435        1
 1324        -     1416190     1417323         1134        1
 1325        -     1417690     1421214         3525        1
 1326        -     1421285     1421692          408        1
 1327        -     1421751     1422173          423        1
 1328        -     1422284     1423273          990        1
 1329        +     1423481     1426060         2580        1
 1330        +     1426117     1426302          186        1
 1331        +     1426307     1426636          330        1
 1332        -     1426808     1427713          906        1
 1333        +     1427949     1429448         1500        1
 1334        -     1429506     1431779         2274        1
 1335        -     1432027     1434072         2046        1
 1336        +     1434357     1435286          930        1
 1337        +     1435298     1435585          288        1
 1338        +     1435594     1436340          747        1
 1339        +     1436334     1436852          519        1
 1340        +     1436860     1437930         1071        1
 1341        +     1437927     1438694          768        1
 1342        +     1438694     1439482          789        1
 1343        +     1439484     1440911         1428        1
 1344        +     1440901     1441323          423        1
 1345        +     1441323     1442528         1206        1
 1346        +     1442555     1443868         1314        1
 1347        +     1443969     1444919          951        1
 1348        +     1444901     1445491          591        1
 1349        +     1445822     1448380         2559        1
 1350        -     1448351     1449142          792        1
 1351        -     1449214     1449624          411        1
 1352        +     1449788     1450939         1152        1
 1353        +     1451288     1454443         3156        1
 1354        +     1454651     1455511          861        1
 1355        +     1455574     1457880         2307        1
 1356        +     1458051     1458656          606        1
 1357        +     1458656     1459552          897        1
 1358        +     1459568     1461325         1758        1
 1359        +     1461315     1462631         1317        1
 1360        -     1462685     1463290          606        1
 1361        +     1463491     1467393         3903        1
 1362        +     1467665     1468465          801        1
 1363        +     1468686     1470101         1416        1
 1364        -     1470143     1470394          252        1
 1365        -     1470391     1470768          378        1
 1366        +     1471296     1471862          567        1
 1367        -     1472352     1472501          150        1
 1368        +     1472900     1474540         1641        1
 1369        -     1474578     1475501          924        1
 1370        +     1475718     1477061         1344        1
 1371        +     1477316     1478941         1626        1
 1372        +     1479081     1479305          225        1
 1373        +     1479368     1479907          540        1
 1374        -     1479899     1480879          981        1
 1375        +     1480991     1481995         1005        1
 1376        +     1481992     1482585          594        1
 1377        +     1482887     1483555          669        1
 1378        -     1483792     1484079          288        1
 1379        +     1484087     1485295         1209        1
 1380        -     1485335     1486549         1215        1
 1381        -     1486827     1487123          297        1
 1382        +     1487169     1489172         2004        1
 1383        -     1489264     1489494          231        1
 1384        -     1489680     1489877          198        1
 1385        +     1489917     1490354          438        1
 1386        +     1490433     1491839         1407        1
 1387        +     1492084     1493229         1146        1
 1388        +     1493247     1494260         1014        1
 1389        +     1494261     1495202          942        1
 1390        +     1495192     1495986          795        1
 1391        +     1496008     1497432         1425        1
 1392        +     1497744     1497992          249        1
 1393        +     1498078     1498311          234        1
 1394        -     1498312     1498761          450        1
 1395        -     1498758     1499339          582        1
 1396        +     1499433     1500494         1062        1
 1397        +     1500692     1501357          666        1
 1398        -     1501393     1503495         2103        1
 1399        +     1503836     1504798          963        1
 1400        -     1504911     1506455         1545        1
 1401        +     1506480     1506629          150        1
 1402        +     1506677     1507294          618        1
 1403        +     1507370     1507582          213        1
 1404        +     1508320     1510368         2049        1
 1405        +     1510352     1510834          483        1
 1406        +     1511016     1511762          747        1
 1407        +     1512246     1513382         1137        1
 1408        +     1513482     1513715          234        1
 1409        -     1513712     1514281          570        1
 1410        +     1514454     1515299          846        1
 1411        -     1515395     1516288          894        1
 1412        -     1516367     1517047          681        1
 1413        -     1517044     1517739          696        1
 1414        -     1517739     1519283         1545        1
 1415        -     1519280     1523020         3741        1
 1416        -     1523102     1524490         1389        1
 1417        -     1524814     1525149          336        1
 1418        -     1525188     1526144          957        1
 1419        -     1526168     1526458          291        1
 1420        -     1526718     1527599          882        1
 1421        +     1527831     1528418          588        1
 1422        +     1528467     1530878         2412        1
 1423        +     1530891     1531775          885        1
 1424        +     1531768     1532421          654        1
 1425        -     1532828     1533112          285        1
 1426        -     1533258     1534298         1041        1
 1427        -     1534402     1536126         1725        1
 1428        -     1536494     1536709          216        1
 1429        +     1537054     1537485          432        1
 1430        -     1537541     1538467          927        1
 1431        -     1538460     1539446          987        1
 1432        -     1539443     1540339          897        1
 1433        -     1540336     1541358         1023        1
 1434        -     1541360     1542910         1551        1
 1435        -     1542924     1543505          582        1
 1436        -     1543763     1546186         2424        1
 1437        -     1546187     1547569         1383        1
 1438        -     1547933     1549087         1155        1
 1439        -     1549383     1550918         1536        1
 1440        -     1551074     1552504         1431        1
 1441        -     1552836     1555631         2796        1
 1442        -     1555676     1558048         2373        1
 1443        -     1558086     1559771         1686        1
 1444        -     1560062     1561219         1158        1
 1445        -     1561271     1562953         1683        1
 1446        -     1563355     1564116          762        1
 1447        -     1564191     1564388          198        1
 1448        -     1564636     1566915         2280        1
 1449        -     1567249     1568163          915        1
 1450        -     1568222     1568725          504        1
 1451        -     1568738     1569268          531        1
 1452        -     1569282     1570430         1149        1
 1453        -     1570683     1570904          222        1
 1454        -     1571283     1572605         1323        1
 1455        -     1572605     1572871          267        1
 1456        -     1573094     1574494         1401        1
 1457        -     1574538     1578377         3840        1
 1458        -     1579046     1580638         1593        1
 1459        -     1580717     1581670          954        1
 1460        +     1581919     1583454         1536        1
 1461        +     1583448     1584476         1029        1
 1462        +     1584476     1585468          993        1
 1463        +     1585480     1586502         1023        1
 1464        +     1586529     1587404          876        1
 1465        +     1587428     1587718          291        1
 1466        +     1587775     1588533          759        1
 1467        -     1588537     1589331          795        1
 1468        -     1589658     1591109         1452        1
 1469        -     1591336     1592226          891        1
 1470        -     1592395     1592754          360        1
 1471        -     1592754     1593668          915        1
 1472        -     1593744     1595156         1413        1
 1473        +     1595233     1596114          882        1
 1474        +     1596192     1597307         1116        1
 1475        +     1597457     1598647         1191        1
 1476        -     1598672     1599337          666        1
 1477        +     1599606     1599983          378        1
 1478        +     1599997     1600386          390        1
 1479        -     1600667     1601587          921        1
 1480        +     1601848     1602948         1101        1
 1481        -     1603389     1604279          891        1
 1482        -     1604534     1604926          393        1
 1483        +     1605202     1605720          519        1
 1484        -     1605764     1607800         2037        1
 1485        +     1607946     1608692          747        1
 1486        +     1608781     1609467          687        1
 1487        +     1609644     1609847          204        1
 1488        -     1609882     1611342         1461        1
 1489        -     1611431     1612714         1284        1
 1490        -     1612760     1612888          129        1
 1491        +     1613468     1613734          267        1
 1492        +     1614051     1614641          591        1
 1493        -     1614739     1615314          576        1
 1494        -     1615314     1616162          849        1
 1495        -     1616227     1616796          570        1
 1496        +     1617245     1617418          174        1
 1497        -     1617462     1618400          939        1
 1498        +     1618799     1619224          426        1
 1499        -     1619376     1619552          177        1
 1500        -     1620222     1620434          213        1
 1501        -     1620797     1621294          498        1
 1502        -     1621291     1621824          534        1
 1503        -     1621821     1622132          312        1
 1504        -     1622137     1622352          216        1
 1505        -     1623106     1623321          216        1
 1506        -     1623553     1623720          168        1
 1507        -     1624256     1625008          753        1
 1508        -     1625022     1626044         1023        1
 1509        -     1626418     1626669          252        1
 1510        -     1626886     1627041          156        1
 1511        -     1627113     1627400          288        1
 1512        -     1627400     1627639          240        1
 1513        +     1628172     1628504          333        1
 1514        -     1628889     1629116          228        1
 1515        -     1629113     1629403          291        1
 1516        -     1629387     1629617          231        1
 1517        +     1629701     1630108          408        1
 1518        +     1630390     1630560          171        1
 1519        +     1630590     1630808          219        1
 1520        +     1631561     1631752          192        1
 1521        +     1631830     1632765          936        1
 1522        +     1632756     1633304          549        1
 1523        +     1633279     1634475         1197        1
 1524        -     1634663     1635706         1044        1
 1525        -     1635694     1636941         1248        1
 1526        -     1637114     1637440          327        1
 1527        +     1637575     1637916          342        1
 1528        +     1637951     1638511          561        1
 1529        -     1638514     1639260          747        1
 1530        +     1639290     1639637          348        1
 1531        -     1640037     1640159          123        1
 1532        +     1640181     1642262         2082        1
 1533        +     1642320     1644746         2427        1
 1534        +     1644770     1645126          357        1
 1535        +     1645123     1645374          252        1
 1536        +     1645376     1646230          855        1
 1537        +     1646264     1646887          624        1
 1538        +     1647082     1648338         1257        1
 1539        -     1648291     1648986          696        1
 1540        -     1649111     1650331         1221        1
 1541        -     1650466     1651359          894        1
 1542        +     1651568     1652719         1152        1
 1543        +     1653116     1653451          336        1
 1544        +     1653727     1654548          822        1
 1545        -     1654587     1654916          330        1
 1546        -     1654903     1655268          366        1
 1547        +     1655680     1656714         1035        1
 1548        -     1656739     1658127         1389        1
 1549        -     1658138     1659685         1548        1
 1550        +     1660194     1661138          945        1
 1551        +     1661324     1662706         1383        1
 1552        +     1662743     1663465          723        1
 1553        -     1663462     1663797          336        1
 1554        +     1663926     1664645          720        1
 1555        +     1664649     1665950         1302        1
 1556        +     1666026     1666955          930        1
 1557        -     1666952     1668355         1404        1
 1558        -     1668498     1670144         1647        1
 1559        +     1670343     1671518         1176        1
 1560        +     1671619     1673127         1509        1
 1561        -     1673353     1674618         1266        1
 1562        -     1674657     1676030         1374        1
 1563        -     1676027     1677838         1812        1
 1564        -     1678229     1678819          591        1
 1565        -     1679040     1679807          768        1
 1566        -     1679919     1680947         1029        1
 1567        +     1680918     1682714         1797        1
 1568        +     1682724     1683896         1173        1
 1569        -     1684021     1684278          258        1
 1570        +     1684309     1685001          693        1
 1571        -     1685035     1686090         1056        1
 1572        +     1686716     1686931          216        1
 1573        +     1687017     1687457          441        1
 1574        +     1687534     1688115          582        1
 1575        +     1688115     1688693          579        1
 1576        +     1688686     1690908         2223        1
 1577        +     1690909     1691967         1059        1
 1578        +     1691971     1692591          621        1
 1579        +     1692595     1693290          696        1
 1580        +     1693290     1693925          636        1
 1581        +     1694053     1694253          201        1
 1582        +     1694536     1696038         1503        1
 1583        +     1696144     1696749          606        1
 1584        -     1696793     1697656          864        1
 1585        -     1697715     1699001         1287        1
 1586        -     1699118     1699774          657        1
 1587        -     1699833     1700162          330        1
 1588        -     1700260     1701369         1110        1
 1589        +     1701643     1702110          468        1
 1590        -     1702157     1702597          441        1
 1591        +     1702801     1703028          228        1
 1592        +     1703031     1703888          858        1
 1593        +     1703888     1705900         2013        1
 1594        -     1705901     1706437          537        1
 1595        -     1706503     1707399          897        1
 1596        +     1707790     1708389          600        1
 1597        +     1708426     1709523         1098        1
 1598        +     1709604     1710011          408        1
 1599        +     1710114     1710761          648        1
 1600        +     1710854     1715470         4617        1
 1601        -     1715521     1715868          348        1
 1602        +     1716271     1717017          747        1
 1603        +     1717145     1717726          582        1
 1604        -     1717888     1719057         1170        1
 1605        +     1719611     1720636         1026        1
 1606        -     1720633     1721565          933        1
 1607        +     1721678     1722889         1212        1
 1608        +     1723180     1724328         1149        1
 1609        -     1724368     1725009          642        1
 1610        +     1725224     1726597         1374        1
 1611        -     1726638     1727894         1257        1
 1612        +     1728467     1728772          306        1
 1613        +     1728898     1730502         1605        1
 1614        -     1730514     1731326          813        1
 1615        -     1731330     1732115          786        1
 1616        -     1732112     1732831          720        1
 1617        -     1732844     1733491          648        1
 1618        -     1733495     1735681         2187        1
 1619        +     1735786     1735992          207        1
 1620        -     1736699     1736908          210        1
 1621        +     1737249     1738877         1629        1
 1622        +     1739188     1739424          237        1
 1623        -     1739488     1740492         1005        1
 1624        -     1740641     1741057          417        1
 1625        -     1741070     1742290         1221        1
 1626        -     1742287     1743558         1272        1
 1627        -     1743533     1744279          747        1
 1628        -     1744289     1745776         1488        1
 1629        -     1745785     1746153          369        1
 1630        -     1746701     1746919          219        1
 1631        -     1746989     1747399          411        1
 1632        -     1747396     1750452         3057        1
 1633        +     1750841     1751953         1113        1
 1634        +     1752382     1752738          357        1
 1635        +     1752838     1754052         1215        1
 1636        +     1754279     1755544         1266        1
 1637        +     1755556     1756422          867        1
 1638        +     1756453     1757211          759        1
 1639        +     1757354     1758949         1596        1
 1640        +     1758960     1760114         1155        1
 1641        -     1760157     1761068          912        1
 1642        +     1761363     1762148          786        1
 1643        +     1762168     1763106          939        1
 1644        +     1763162     1764451         1290        1
 1645        +     1764448     1764741          294        1
 1646        +     1764744     1766444         1701        1
 1647        -     1766501     1768879         2379        1
 1648        +     1769212     1770045          834        1
 1649        +     1770202     1771248         1047        1
 1650        +     1771380     1771571          192        1
 1651        -     1771575     1773011         1437        1
 1652        -     1773074     1773787          714        1
 1653        -     1774034     1774498          465        1
 1654        -     1774576     1774908          333        1
 1655        -     1775043     1775324          282        1
 1656        -     1775324     1775875          552        1
 1657        -     1775938     1776852          915        1
 1658        -     1777019     1777318          300        1
 1659        -     1777323     1779710         2388        1
 1660        -     1779725     1780720          996        1
 1661        -     1781159     1781515          357        1
 1662        -     1781568     1781765          198        1
 1663        -     1781862     1782296          435        1
 1664        -     1782408     1784276         1869        1
 1665        +     1785386     1786759         1374        1
 1666        +     1786916     1787038          123        1
 1667        -     1787091     1787849          759        1
 1668        +     1788133     1789065          933        1
 1669        +     1789166     1789456          291        1
 1670        +     1789562     1790422          861        1
 1671        -     1790463     1790999          537        1
 1672        +     1791146     1791814          669        1
 1673        +     1791977     1792567          591        1
 1674        +     1792700     1794091         1392        1
 1675        -     1794095     1794910          816        1
 1676        -     1795187     1795450          264        1
 1677        +     1795633     1797894         2262        1
 1678        -     1798152     1798901          750        1
 1679        -     1798914     1800266         1353        1
 1680        -     1800371     1801213          843        1
 1681        -     1801221     1801571          351        1
 1682        -     1801622     1802980         1359        1
 1683        -     1803065     1803385          321        1
 1684        -     1803684     1804022          339        1
 1685        +     1804224     1805051          828        1
 1686        +     1805419     1806168          750        1
 1687        -     1806128     1806766          639        1
 1688        -     1806906     1807391          486        1
 1689        -     1807721     1808689          969        1
 1690        -     1808682     1810025         1344        1
 1691        -     1810022     1811500         1479        1
 1692        -     1811497     1812531         1035        1
 1693        -     1812528     1813748         1221        1
 1694        +     1814182     1815000          819        1
 1695        +     1815167     1815877          711        1
 1696        +     1815867     1816559          693        1
 1697        +     1816574     1817281          708        1
 1698        +     1817281     1817829          549        1
 1699        +     1817836     1819005         1170        1
 1700        +     1818978     1820513         1536        1
 1701        +     1820513     1821166          654        1
 1702        +     1821251     1822540         1290        1
 1703        -     1822549     1823118          570        1
 1704        +     1823256     1823663          408        1
 1705        +     1824137     1825480         1344        1
 1706        -     1825597     1826637         1041        1
 1707        -     1826765     1828726         1962        1
 1708        -     1828731     1829780         1050        1
 1709        -     1829891     1830442          552        1
 1710        +     1830459     1832459         2001        1
 1711        +     1832626     1833642         1017        1
 1712        +     1833635     1834294          660        1
 1713        -     1834387     1835745         1359        1
 1714        -     1835862     1836620          759        1
 1715        -     1836757     1837737          981        1
 1716        -     1837747     1838715          969        1
 1717        -     1838699     1839535          837        1
 1718        -     1839556     1840599         1044        1
 1719        -     1840616     1841923         1308        1
 1720        -     1842022     1843098         1077        1
 1721        -     1843468     1843740          273        1
 1722        -     1843782     1844195          414        1
 1723        +     1844537     1845532          996        1
 1724        +     1845595     1846500          906        1
 1725        -     1846548     1847402          855        1
 1726        -     1847492     1848238          747        1
 1727        +     1848674     1850608         1935        1
 1728        +     1850721     1852004         1284        1
 1729        +     1852175     1853626         1452        1
 1730        +     1853807     1855297         1491        1
 1731        +     1855340     1855843          504        1
 1732        -     1855844     1855948          105        1
 1733        +     1856118     1856564          447        1
 1734        -     1856521     1857342          822        1
 1735        +     1857439     1858620         1182        1
 1736        +     1858675     1859022          348        1
 1737        -     1859044     1859298          255        1
 1738        +     1859481     1860506         1026        1
 1739        -     1860773     1861021          249        1
 1740        -     1861169     1861351          183        1
 1741        -     1861355     1861714          360        1
 1742        -     1861887     1862525          639        1
 1743        -     1862652     1863575          924        1
 1744        +     1863678     1864763         1086        1
 1745        +     1864969     1866399         1431        1
 1746        +     1866431     1867555         1125        1
 1747        +     1867611     1868576          966        1
 1748        -     1868630     1869745         1116        1
 1749        -     1869827     1871545         1719        1
 1750        -     1871717     1872298          582        1
 1751        -     1872338     1873033          696        1
 1752        -     1873091     1875001         1911        1
 1753        +     1875085     1875477          393        1
 1754        +     1875839     1876198          360        1
 1755        -     1876318     1876497          180        1
 1756        +     1876571     1877932         1362        1
 1757        +     1877936     1878514          579        1
 1758        +     1878764     1880062         1299        1
 1759        +     1880193     1881791         1599        1
 1760        -     1881795     1883351         1557        1
 1761        +     1883814     1884785          972        1
 1762        +     1884848     1885648          801        1
 1763        +     1885661     1886512          852        1
 1764        +     1886567     1887025          459        1
 1765        +     1887400     1888020          621        1
 1766        -     1888017     1888742          726        1
 1767        -     1888992     1889201          210        1
 1768        -     1890027     1890314          288        1
 1769        -     1891074     1891865          792        1
 1770        +     1892042     1893415         1374        1
 1771        -     1893461     1893631          171        1
 1772        -     1893695     1894342          648        1
 1773        -     1894534     1896582         2049        1
 1774        -     1896602     1897300          699        1
 1775        -     1897397     1897948          552        1
 1776        +     1898024     1899307         1284        1
 1777        +     1899276     1901909         2634        1
 1778        +     1901983     1902390          408        1
 1779        +     1902403     1903428         1026        1
 1780        +     1903531     1903782          252        1
 1781        +     1903803     1904078          276        1
 1782        -     1904079     1904489          411        1
 1783        -     1905131     1905472          342        1
 1784        -     1905485     1906357          873        1
 1785        -     1906361     1906735          375        1
 1786        +     1906856     1907104          249        1
 1787        +     1907206     1907862          657        1
 1788        +     1907886     1908548          663        1
 1789        -     1908545     1910605         2061        1
 1790        -     1910814     1911473          660        1
 1791        -     1911800     1912168          369        1
 1792        -     1912223     1912513          291        1
 1793        +     1912647     1913825         1179        1
 1794        -     1913881     1914522          642        1
 1795        -     1914559     1916184         1626        1
 1796        -     1916605     1918080         1476        1
 1797        +     1918418     1919287          870        1
 1798        +     1919415     1920857         1443        1
 1799        -     1920988     1921959          972        1
 1800        -     1922079     1923338         1260        1
 1801        -     1923417     1924403          987        1
 1802        +     1924428     1925183          756        1
 1803        +     1925180     1925965          786        1
 1804        -     1926112     1927122         1011        1
 1805        -     1927131     1927742          612        1
 1806        +     1927743     1927850          108        1
 1807        +     1927918     1928619          702        1
 1808        -     1928621     1929142          522        1
 1809        -     1929177     1929917          741        1
 1810        -     1929946     1930455          510        1
 1811        -     1930516     1932288         1773        1
 1812        +     1932598     1933164          567        1
 1813        +     1933161     1933979          819        1
 1814        +     1934032     1934427          396        1
 1815        +     1934468     1935211          744        1
 1816        +     1935208     1936179          972        1
 1817        -     1936344     1938773         2430        1
 1818        -     1938798     1939898         1101        1
 1819        -     1940286     1941002          717        1
 1820        -     1941046     1941612          567        1
 1821        +     1941828     1943561         1734        1
 1822        +     1943738     1944226          489        1
 1823        -     1944738     1946816         2079        1
 1824        -     1946809     1947957         1149        1
 1825        -     1948159     1948803          645        1
 1826        -     1948814     1949203          390        1
 1827        -     1949218     1950267         1050        1
 1828        -     1950270     1951085          816        1
 1829        -     1951149     1952750         1602        1
 1830        -     1952796     1954457         1662        1
 1831        -     1954602     1955105          504        1
 1832        -     1955126     1957084         1959        1
 1833        -     1957095     1958021          927        1
 1834        -     1958018     1958905          888        1
 1835        -     1959032     1959610          579        1
 1836        -     1959613     1959963          351        1
 1837        +     1960743     1961171          429        1
 1838        -     1961178     1962602         1425        1
 1839        -     1962577     1963434          858        1
 1840        -     1963544     1964452          909        1
 1841        -     1964545     1966104         1560        1
 1842        -     1966129     1967169         1041        1
 1843        +     1967915     1968418          504        1
 1844        +     1968434     1968772          339        1
 1845        +     1969706     1970203          498        1
 1846        -     1970241     1970480          240        1
 1847        +     1970671     1971882         1212        1
 1848        -     1971944     1972609          666        1
 1849        -     1973259     1973807          549        1
 1850        -     1973864     1975696         1833        1
 1851        -     1975693     1976349          657        1
 1852        +     1976645     1976821          177        1
 1853        +     1976808     1977032          225        1
 1854        -     1977100     1977822          723        1
 1855        -     1978052     1978804          753        1
 1856        -     1978801     1979469          669        1
 1857        -     1979484     1980566         1083        1
 1858        -     1980575     1981375          801        1
 1859        -     1981463     1982050          588        1
 1860        -     1982060     1982749          690        1
 1861        -     1983100     1984596         1497        1
 1862        +     1984862     1986268         1407        1
 1863        +     1986293     1986703          411        1
 1864        +     1986703     1987068          366        1
 1865        +     1987146     1988633         1488        1
 1866        -     1988667     1989083          417        1
 1867        +     1989267     1990472         1206        1
 1868        +     1990469     1990702          234        1
 1869        +     1990811     1991479          669        1
 1870        +     1991590     1992069          480        1
 1871        -     1992338     1992529          192        1
 1872        -     1992991     1993341          351        1
 1873        -     1993690     1994004          315        1
 1874        +     1994219     1995877         1659        1
 1875        +     1995870     1996865          996        1
 1876        +     1996858     1997544          687        1
 1877        +     1997544     1998917         1374        1
 1878        +     1998936     1999379          444        1
 1879        +     1999376     2000503         1128        1
 1880        +     2000608     2001072          465        1
 1881        +     2001077     2002081         1005        1
 1882        +     2002078     2002491          414        1
 1883        +     2002494     2002859          366        1
 1884        +     2002859     2003596          738        1
 1885        +     2003606     2003875          270        1
 1886        +     2003883     2004668          786        1
 1887        +     2004958     2005581          624        1
 1888        -     2005625     2005813          189        1
 1889        +     2005973     2006203          231        1
 1890        +     2006501     2007316          816        1
 1891        -     2007313     2008989         1677        1
 1892        -     2009178     2009360          183        1
 1893        -     2009439     2010356          918        1
 1894        +     2010529     2011449          921        1
 1895        -     2011438     2011908          471        1
 1896        -     2011889     2012854          966        1
 1897        +     2012864     2013034          171        1
 1898        -     2013173     2013307          135        1
 1899        -     2013374     2014069          696        1
 1900        -     2014109     2014411          303        1
